Scenario,Year,Metal,Technology,"Climate change, long term","Climate change, short term",Fossil and nuclear energy use,Freshwater acidification,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity cancer,Human toxicity non-cancer,Ionizing radiations,"Land occupation, biodiversity","Land transformation, biodiversity",Marine eutrophication,Mineral resources use,Ozone layer depletion,Particulate matter formation,Photochemical ozone formation,Terrestrial acidification,Water scarcity
NZE,2045,Dysprosium,Rest of the economy,26639655.248702116,29030758.3402166,340536907.640641,164894.4925108023,28414498116.069096,8071.337829757196,1.5136254428241447,10.561445128947392,4905958462.400494,17602234.6853014,117012.65101450859,2219476.3483919934,1762028371.6659968,1.4853086252131031,23890.3853084483,73869.77484833325,270006.8441129938,20428723.541049223
NZE,2050,Dysprosium,Rest of the economy,29232385.633972947,31867828.647432625,371667669.4883201,182655.21585688554,31583929657.000355,8972.567182899806,1.6804886092421243,11.721524544272542,5444597109.465924,19605164.64256416,129953.82781945533,2466090.2261599805,1957804839.609976,1.6723981982216776,26583.126845545245,81972.27685922738,299356.1919504833,22705162.273194168
NZE,2022,Gallium,Rest of the economy,119852877.3400604,132403857.16656259,1799423579.7830286,210625.6884368131,22808439535.79345,15226.511195904914,1.1673785440035394,7.416952202735538,657899166.0905356,1463482.3141534252,10301.163554851491,230123.47411309739,1800723.1968931174,3.74231375847933,62498.42011176494,156296.9596085475,354850.77458536834,30476131.06029955
NZE,2030,Gallium,Rest of the economy,109519640.47056492,121538219.56958124,1795997658.6607513,212754.41246112788,20503723929.761444,18446.73114246758,1.3822329675578724,8.06014502454468,764538478.7248093,1961712.8881709184,13892.219980781172,277631.9668995293,2125949.55661029,4.379089674932283,45627.279130857816,138839.5135615664,316822.36806098593,34385118.08643087
NZE,2035,Gallium,Rest of the economy,114442660.3279737,127291588.9331928,1895494241.3154142,229576.71790162323,21968918152.983734,20867.345515102537,1.5408788185736875,9.13617696014828,756398270.7626724,2865734.9976966735,15538.420936115444,312826.3349706543,2395636.286359912,4.823122770772922,45471.64248494235,145050.8285843042,334639.41590260115,37779285.102036454
NZE,2040,Gallium,Rest of the economy,124172695.32331008,138238958.62006587,2047211651.6522965,252858.03827299213,24593210028.954807,23396.525309747907,1.7111467374243414,10.48224127178401,756662039.2945149,4107915.244861637,16449.68009948246,349346.675252262,2698660.986221472,5.590954832044555,50400.1143112882,158610.64659123906,368859.02072412503,41684395.85149772
NZE,2045,Gallium,Rest of the economy,135946824.60203287,151422904.65033814,2224373746.2302623,280555.7793945575,27251713351.906513,26177.180299349675,1.9040115311403252,11.802292241701814,782209676.2859592,5124849.762830519,17569.471433301722,390315.4544340614,3047121.654152572,6.375904083582664,56730.367829050156,175333.9685569676,409811.82299719786,46348878.031868696
NZE,2050,Gallium,Rest of the economy,149710958.0929097,166824734.53108993,2440988172.107563,309953.22618303844,30176098579.81768,29093.7559397155,2.107280192036332,13.078443185084842,828993445.2904634,5808056.476659963,19045.019111235128,433730.79239066824,3389042.1914458703,7.21691617860495,63234.86571136514,194196.60815624334,453101.04407070304,51452463.227972865
NZE,2022,Graphite,Rest of the economy,6455444253.09764,8006326446.800569,102412421630.69102,12154548.16282268,2465458869438.756,273782.77855161985,280.6227229073791,437.41784346813716,29023614834.102924,160413016.38085493,1006796.2450968255,969970.5616194644,266189907.59063804,60.761754142434626,6488278.177783588,14225345.866100194,27805953.792085454,809742511.6847949
NZE,2030,Graphite,Rest of the economy,3976466043.7930303,5448723731.276507,91597822195.0125,11278319.774096314,2101149562769.5007,320702.9294603611,337.4984211914713,412.248125831571,54358634500.18197,201114002.14775732,1397764.5952437788,968509.8383669935,321819543.809018,72.23929883407148,3940558.409181448,11962172.384341605,21384956.99175792,717644052.9852729
